source,target,source_group,target_group,x1,y1,x2,y2
2,1,1,2,30.42612712785733,96.2001463,56.951985831780114,96.68354517
3,1,2,2,-3.020329637,57.74413689684616,56.951985831780114,96.68354517
4,1,2,2,-2.981710724,124.40368537088429,56.951985831780114,96.68354517
5,1,1,2,92.88481299630784,121.54934313104376,56.951985831780114,96.68354517
6,1,1,2,112.40536821787762,131.30407325368108,56.951985831780114,96.68354517
7,1,1,2,116.37498507667806,100.35234898284195,56.951985831780114,96.68354517
8,1,2,2,-6.198212418,101.48039766794338,56.951985831780114,96.68354517
9,1,3,2,4.347480563601008,31.022272740912406,56.951985831780114,96.68354517
11,1,1,2,80.15613162862512,147.03564192290906,56.951985831780114,96.68354517
12,1,3,2,22.631926334644632,105.3425415085176,56.951985831780114,96.68354517
13,1,3,2,25.24182845541304,123.17353483117815,56.951985831780114,96.68354517
14,1,3,2,18.928899952236254,68.00887292669043,56.951985831780114,96.68354517
18,1,4,2,33.59421044,134.97307476595498,56.951985831780114,96.68354517
20,1,3,2,41.19199042466511,52.54080869928723,56.951985831780114,96.68354517
22,1,3,2,48.75180476,134.59792815249983,56.951985831780114,96.68354517
32,1,4,2,73.78714834429043,9.206713566103408,56.951985831780114,96.68354517
3,2,2,1,-3.020329637,57.74413689684616,30.42612712785733,96.2001463
4,2,2,1,-2.981710724,124.40368537088429,30.42612712785733,96.2001463
8,2,2,1,-6.198212418,101.48039766794338,30.42612712785733,96.2001463
14,2,3,1,18.928899952236254,68.00887292669043,30.42612712785733,96.2001463
18,2,4,1,33.59421044,134.97307476595498,30.42612712785733,96.2001463
20,2,3,1,41.19199042466511,52.54080869928723,30.42612712785733,96.2001463
22,2,3,1,48.75180476,134.59792815249983,30.42612712785733,96.2001463
31,2,5,1,23.178004160441542,30.35251309930461,30.42612712785733,96.2001463
4,3,2,2,-2.981710724,124.40368537088429,-3.020329637,57.74413689684616
8,3,2,2,-6.198212418,101.48039766794338,-3.020329637,57.74413689684616
9,3,3,2,4.347480563601008,31.022272740912406,-3.020329637,57.74413689684616
10,3,3,2,-16.251453,17.586377878566207,-3.020329637,57.74413689684616
14,3,3,2,18.928899952236254,68.00887292669043,-3.020329637,57.74413689684616
28,3,5,2,54.63954405,1.15701248,-3.020329637,57.74413689684616
29,3,5,2,35.11713767605819,22.492760402549745,-3.020329637,57.74413689684616
33,3,6,2,16.78741284700977,-25.2588575,-3.020329637,57.74413689684616
8,4,2,2,-6.198212418,101.48039766794338,-2.981710724,124.40368537088429
13,4,3,2,25.24182845541304,123.17353483117815,-2.981710724,124.40368537088429
14,4,3,2,18.928899952236254,68.00887292669043,-2.981710724,124.40368537088429
7,5,1,1,116.37498507667806,100.35234898284195,92.88481299630784,121.54934313104376
11,5,1,1,80.15613162862512,147.03564192290906,92.88481299630784,121.54934313104376
7,6,1,1,116.37498507667806,100.35234898284195,112.40536821787762,131.30407325368108
11,6,1,1,80.15613162862512,147.03564192290906,112.40536821787762,131.30407325368108
17,6,1,1,150.3279840188383,119.84564456486662,112.40536821787762,131.30407325368108
17,7,1,1,150.3279840188383,119.84564456486662,116.37498507667806,100.35234898284195
31,9,5,3,23.178004160441542,30.35251309930461,4.347480563601008,31.022272740912406
33,9,6,3,16.78741284700977,-25.2588575,4.347480563601008,31.022272740912406
34,9,6,3,20.426575636531947,-10.44940953,4.347480563601008,31.022272740912406
34,10,6,3,20.426575636531947,-10.44940953,-16.251453,17.586377878566207
34,14,6,3,20.426575636531947,-10.44940953,18.928899952236254,68.00887292669043
33,15,6,3,16.78741284700977,-25.2588575,21.56355070087543,-55.12713561
34,15,6,3,20.426575636531947,-10.44940953,21.56355070087543,-55.12713561
33,16,6,3,16.78741284700977,-25.2588575,-19.39449805,-20.86339971
34,16,6,3,20.426575636531947,-10.44940953,-19.39449805,-20.86339971
33,19,6,3,16.78741284700977,-25.2588575,-8.181425474,-47.0769024
34,19,6,3,20.426575636531947,-10.44940953,-8.181425474,-47.0769024
34,20,6,3,20.426575636531947,-10.44940953,41.19199042466511,52.54080869928723
33,21,6,6,16.78741284700977,-25.2588575,41.12483223371068,-46.2444662
34,21,6,6,20.426575636531947,-10.44940953,41.12483223371068,-46.2444662
33,23,6,6,16.78741284700977,-25.2588575,-17.05331052,-35.4196584
34,23,6,6,20.426575636531947,-10.44940953,-17.05331052,-35.4196584
26,24,4,6,105.48147167186205,-39.8982172,62.86799414915275,-48.22771285
28,24,5,6,54.63954405,1.15701248,62.86799414915275,-48.22771285
30,24,5,6,31.212149309965714,-70.96045555,62.86799414915275,-48.22771285
33,24,6,6,16.78741284700977,-25.2588575,62.86799414915275,-48.22771285
34,24,6,6,20.426575636531947,-10.44940953,62.86799414915275,-48.22771285
26,25,4,4,105.48147167186205,-39.8982172,109.66175628271444,-8.961432895
28,25,5,4,54.63954405,1.15701248,109.66175628271444,-8.961432895
32,25,4,4,73.78714834429043,9.206713566103408,109.66175628271444,-8.961432895
32,26,4,4,73.78714834429043,9.206713566103408,105.48147167186205,-39.8982172
30,27,5,4,31.212149309965714,-70.96045555,3.0311149959406074,-58.55510304
34,27,6,4,20.426575636531947,-10.44940953,3.0311149959406074,-58.55510304
34,28,6,5,20.426575636531947,-10.44940953,54.63954405,1.15701248
32,29,4,5,73.78714834429043,9.206713566103408,35.11713767605819,22.492760402549745
